"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C813,C228,C230,C231,C232,C301,C302,C412,C413,C705,C708,C812";"SM0603";12;"CAP_0603";;;
2;"xc6slx9_144201";"TQFP_144";1;"xc6slx9_144";;;
3;"C201,C202,C206,C207,C216,C217,C221,C223,C224,C237,C238,C242,C243";"SM0603";13;"100n";;;
4;"C203,C208,C211,C212,C213,C218,C239,C244";"SM0603";8;"470n";;;
5;"C204,C205,C209,C210,C214,C215,C219,C220,C240,C241,C245,C246";"SM0805";12;"1u";;;
6;"R201,R202,R508";"SM0402";3;"4.7k";;;
7;"R203,R204,R506,R701,R702,R703,R704,R213,R214";"SM0402";9;"RES_0402";;;
8;"C101,C227";"SM0603";2;"1uF";;;
9;"C222,C226";"SM0402";2;"10p";;;
10;"C225,C229";"SM0805";2;"4.7u";;;
11;"C303,C304";"SM0402";2;"1uF";;;
12;"C305";"SM0402";1;"2.2uF";;;
13;"C310";"SM0805";1;"2.2u";;;
14;"C311,C312,C401,C402,C403,C404,C406,C407,C408,C409,C414,C521,C522,C535,C536,C537,C538,C539,C540,C541,C542,C701,C702,C703,C704,C706,C707,C801,C802,C803,C804,C806,C807,C808,C809,C814";"SM0402";36;"CAP_0402";;;
15;"C405,C805";"SM0805";2;"CAP_0805";;;
16;"C410,C810";"SM0402";2;"42.4p";;;
17;"C411,C811,C415,C815";"SM0402";4;"21.2p";;;
18;"C501,C502,C509,C510,C601,C603,C604,C605,C613,C614,C616,C617,C624,C626,C631,C633";"SM1206";16;"10uF";;;
19;"C503,C606,C607,C627";"SM1206";4;"19uF";;;
20;"C504,C505,C506,C515,C516,C517,C602,C615,C620,C622,C635,C636,C644,C645";"SM0805";14;"10uF";;;
21;"C507,C608,C609,C628";"SM0805";4;"100nF";;;
22;"C508,C611,C612,C625,C630,C638,C642";"SM0805";7;"1uF";;;
23;"C511,C512,C513,C610,C621,C640,C641";"SM0603";7;"1nF";;;
24;"C514,C618,C619,C637,C711";"SM0603";5;"100nF";;;
25;"C518";"SM0402";1;"390pF";;;
26;"C519";"SM0402";1;"33nF";;;
27;"C520";"SM0402";1;"1500pF";;;
28;"C526,C527,C528,C529";"SM0402";4;"100pF";;;
29;"C530,C532,C534,C544,C546,C547";"SM0402";6;"10pF";;;
30;"C623,C629,C632,C634,C643";"SM0805";5;"4.7uF";;;
31;"C639";"SM0402";1;"10n";;;
32;"C709,C710,C525,C531,C533,C523,C524,C543,C545";"SM0402";9;"100nF";;;
33;"J202";"Molex_54819-0572";1;"USB_OTG";;;
34;"J401";"SMA_AMP_132255-12";1;"SMA_PCB";;;
35;"J701";"SMA_AMP_132255-12";1;"REF IN";;;
36;"L201,L202,L301,L401,L402,L403,L408,L409,L701,L702,L801,L802,L803,L808,L809";"SM0603";15;"IND_0603";;;
37;"L410,L411,L506,L507,L508,L509,L510,L511,L512,L513,L810,L811";"SM0402";12;"IND_0402";;;
38;"L502,L503,L504,L505";"SM0402";4;"7.5nH";;;
39;"R101";"SM0402";1;"220";;;
40;"R205,R206";"SM0603";2;"NP";;;
41;"R207,R208,R211,R501,R503,R504,R505,R601,R602,R607,R705,R706,R707";"SM0402";13;"10k";;;
42;"R209";"SM0402";1;"2.2k";;;
43;"R301";"SM0402";1;"NP";;;
44;"R302";"SM0402";1;"0";;;
45;"R401,R801";"SM0402";2;"51";;;
46;"R402,R403,R802,R803,R804,R805,R406,R407";"SM0402";8;"1.08k";;;
47;"R404,R405,R806,R807";"SM0402";4;"3.25k";;;
48;"R502";"SM0402";1;"68.1k";;;
49;"R507";"SM0402";1;"1k";;;
50;"R603";"SM0402";1;"33.2k";;;
51;"R604";"SM0402";1;"22.6k";;;
52;"R608";"SM0402";1;"54.9k";;;
53;"U201";"SOIC_8_150mil";1;"SST25VF020B";;;
54;"U202";"SOT-236-095mm";1;"93LC46B";;;
55;"U203";"LQFP_64";1;"FT2232H";;;
56;"U401,U801";"QFN12_2x3mm_UDB_LT";2;"LTC5548";;;
57;"U504,U602,U603,U606";"SOT-236-095mm";4;"TPS563208_SOT236";;;
58;"U701";"QFN24_4x4_0.5mm";1;"EP2C+";;;
59;"U702";"LFCSP8_3x2mm";1;"AD8317";;;
60;"U704";"SOT23-5";1;"TC74";;;
61;"U402,U802";"QFN16_3x3mm";2;"ADA4940-1";;;
62;"U505";"QFN32_5x5mm_3.6mm";1;"ADF4355";;;
63;"U501";"DFN8_3x3mm";1;"ADM7170ACPZ-5.0";;;
64;"U502,U503,U608";"DFN8_3x3mm";3;"ADM7170ACPZ-3.3";;;
65;"U601,U604,U609";"DFN8_3x3mm";3;"ADM7170ACPZ-2.5";;;
66;"U605";"WSON8_2x2mm";1;"LM27761";;;
67;"D101";"LED-0603";1;"LED";;;
68;"SW101";"ALPS_SKRKAEE010";1;"Reflash";;;
69;"U204";"xtal_3.2x2.5";1;"ASE-24.000MHZ-LC-T";;;
70;"X201";"XTAL_5.0x3.2mm";1;"TXC_50X32_AB";;;
71;"J203";"IDC_Header_Straight_14pins";1;"Conn_02x07_Odd_Even";;;
72;"K501,K502";"DB1627";2;"TCM1-83X-1+";;;
73;"L603,L1,L2,L3";"IND_7x7x4.5";4;"2.2uH";;;
74;"J201";"02x07";1;"Xilinx_14x2mm";;;
75;"U703";"SOT-236-095mm";1;"AD7680";;;
76;"J601";"2.1mm_DC_Jack_NEB21R";1;"Conn_01x03";;;
77;"U205";"SOT-236-095mm";1;"TPD4E1U06-SC70";;;
78;"U301";"QFN52_8x7mm";1;"LTC2271";;;
79;"X501";"7x5_6Pins";1;"VG-4513CA 122.88";;;
80;"C306,C307,C308,C309,C313";"SM0402";5;"0.1u";;;
81;"R210";"SM0402";1;"1k";;;
82;"R212";"SM0402";1;"12k";;;
83;"C233,C234,C235,C236";"SM0402";4;"100n";;;
84;"R605";"SM0402";1;"95.3k";;;
85;"R606";"SM0402";1;"56k";;;
86;"REF**,REF**,REF**";"2.5mm_non_plated";3;"2.5mm_non_plated";;;
87;"U607";"LFCSP8_2x2mm";1;"ADP7185ACPZN2.5";;;
